language,language_name,prompt_id,variant_type,seed,image_path,mean_luma,contrast_luma,edge_density,entropy,colorfulness,phash_bits
en,English,S03_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_synonym_seed2026051801_00001_.png,195.7267608642578,54.64715673015503,0.0545654296875,4.124006287269556,21.594123960262515,1010101111000110110101000011110100001111010000101101000000111101
en,English,S03_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_synonym_seed2026051802_00001_.png,141.66973876953125,55.692799301816244,0.073516845703125,7.618391611032458,46.51152720941106,1010101011100111100100011101110011011000100100011001000110110100
en,English,S03_word_order,word_order,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_word_order_seed2026051801_00001_.png,172.0718536376953,47.14150519945019,0.0823974609375,7.102977819832432,38.634326284802746,1111111111001011110100000111110010001111000000100110000001001010
en,English,S03_word_order,word_order,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_word_order_seed2026051802_00001_.png,117.32102966308594,57.202498521044916,0.0845947265625,7.616994635079368,55.73181778349919,1010101011101011100100010100100111011001110000101000100110110011
en,English,S03_attribute_swap,attribute_swap,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_attribute_swap_seed2026051801_00001_.png,161.07528686523438,46.83071517072524,0.069549560546875,7.3297869085225456,41.76758007250399,1101111111000111110000000010110011111011000100101010010101001000
en,English,S03_attribute_swap,attribute_swap,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S03_attribute_swap_seed2026051802_00001_.png,113.82444763183594,51.65141441129489,0.0884857177734375,7.311455384623069,52.66515748382221,1010101110100011110100010101100110001001110010011100000110110011
en,English,S04_base,base,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_base_seed2026051801_00001_.png,174.4944305419922,45.50450329423843,0.0774078369140625,7.045757825213736,39.200490466491274,1001110010100011110000000110110010101011010101101010110101101010
en,English,S04_base,base,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_base_seed2026051802_00001_.png,99.40261840820312,54.51108914321457,0.0645294189453125,7.121394359450213,39.26712315308415,1010101010101011010100000101000110101010110001110100110110110011
en,English,S04_synonym,synonym,2026051801,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_synonym_seed2026051801_00001_.png,192.14932250976562,51.437647541698624,0.0576324462890625,5.36054831759943,35.278877659823706,1011110011000011110000100111110010010111010000111010100001011100
en,English,S04_synonym,synonym,2026051802,REDACTED_PROJECT_ROOT/comfyui_real_isolated/en/ChinesePromptRobustness/S04_synonym_seed2026051802_00001_.png,133.4169464111328,46.35192197159414,0.0449066162109375,7.060650931987757,36.277970117536235,1010011010101011010110011101110010101000110101100100010100100011
