language,language_name,records,generated_success,generation_success_rate,mean_runtime_seconds,median_runtime_seconds,mean_runtime_excluding_first,mean_prompt_chars,mean_positive_clip_tokens,p95_positive_clip_tokens,prompts_over_77_tokens,mean_clip_token_excess,mean_luma,mean_contrast,mean_edge_density,mean_entropy,mean_colorfulness,mean_phash_distance_to_en,mean_ssim_to_en,mean_structural_drift_to_en,mean_hist_l1_to_en
en,English,88,88,1.0,7.5758636363636365,6.0255,6.479206896551723,54.84090909090909,21.15909090909091,26.0,0,0.0,154.02516919916326,52.48443521249951,0.060982097278941765,6.173321377742587,60.8800532467869,0.0,1.0,0.0,0.0
zh,Chinese,88,88,1.0,7.41159090909091,6.027,6.314149425287357,18.431818181818183,56.90909090909091,78.0,6,0.4772727272727273,216.06792363253507,21.822634180231663,0.04796374927867542,5.506681231730789,18.76002320596714,0.36967329545454547,0.26775135214859863,0.7322486478514013,1.6158339760520242
hi,Hindi,88,88,1.0,6.950306818181818,6.03,5.937482758620689,50.59090909090909,60.40909090909091,84.0,18,1.3863636363636365,194.7630157470703,37.955005854096584,0.1015363173051314,6.439948183655384,30.7470354942327,0.41264204545454547,0.18571889530122518,0.8142811046987749,1.6436181501908735
es,Spanish,88,88,1.0,7.691340909090909,6.027,6.733310344827585,64.88636363636364,29.318181818181817,39.0,0,0.0,166.23689113963735,49.26052444343606,0.054894880814985794,6.070907732920341,68.66408288486566,0.3181818181818182,0.5484068920198314,0.45159310798016866,1.4309071627530185
fr,French,88,88,1.0,7.7977159090909085,6.028,6.723310344827587,63.54545454545455,28.681818181818183,38.0,0,0.0,164.7760434584184,46.62462415387038,0.06863663413307884,6.220042004307799,49.982453286012465,0.31640625,0.5630562203500735,0.4369437796499265,1.3763195384632458
