language,language_name,records,mean_tokens_without_suffix,mean_tokens_with_suffix,mean_suffix_added_tokens,prompts_over_77_without_suffix,prompts_over_77_with_suffix,max_tokens_without_suffix,max_tokens_with_suffix
en,English,88,15.159090909090908,21.15909090909091,6.0,0,0,21,27
es,Spanish,88,23.318181818181817,29.318181818181817,6.0,0,0,36,42
fr,French,88,22.681818181818183,28.681818181818183,6.0,0,0,37,43
hi,Hindi,88,53.40909090909091,60.40909090909091,7.0,4,18,88,95
zh,Chinese,88,49.90909090909091,56.90909090909091,7.0,4,6,80,87
