prompt_id,variant_type,seed,language,language_name,phash_distance_to_en,ssim_to_en,structural_drift_to_en,hist_l1_to_en
S02_base,base,2026051801,es,Spanish,0.34375,0.5098259563430393,0.4901740436569607,1.809112548828125
S02_base,base,2026051801,fr,French,0.4375,0.28863873973690923,0.7113612602630908,1.91119384765625
S02_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
S02_base,base,2026051802,zh,Chinese,0.375,0.5190216524552542,0.4809783475447458,1.801910400390625
S02_base,base,2026051802,hi,Hindi,0.5,0.32390678294637804,0.676093217053622,1.798736572265625
S02_base,base,2026051802,es,Spanish,0.15625,0.8511842512673128,0.14881574873268721,1.789215087890625
S02_base,base,2026051802,fr,French,0.4375,0.3801556542507289,0.619844345749271,1.7259521484375
S02_synonym,synonym,2026051801,en,English,0.0,1.0,0.0,0.0
S02_synonym,synonym,2026051801,zh,Chinese,0.28125,0.3385646753203256,0.6614353246796745,0.979217529296875
S02_synonym,synonym,2026051801,hi,Hindi,0.53125,-0.052488476792466626,1.0524884767924667,1.561279296875
S02_synonym,synonym,2026051801,es,Spanish,0.3125,0.7033213609789627,0.2966786390210373,0.8531494140625
S02_synonym,synonym,2026051801,fr,French,0.375,0.280433275652892,0.719566724347108,1.09759521484375
S02_synonym,synonym,2026051802,en,English,0.0,1.0,0.0,0.0
S02_synonym,synonym,2026051802,zh,Chinese,0.4375,0.41173044491749095,0.588269555082509,1.586669921875
S02_synonym,synonym,2026051802,hi,Hindi,0.34375,0.2736957514462492,0.7263042485537508,1.587310791015625
S02_synonym,synonym,2026051802,es,Spanish,0.4375,0.8219762299097594,0.17802377009024062,1.57562255859375
S02_synonym,synonym,2026051802,fr,French,0.53125,0.28020479213346616,0.7197952078665338,1.5830078125
S02_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
S02_word_order,word_order,2026051801,zh,Chinese,0.4375,0.23620868445734186,0.7637913155426581,1.99700927734375
S02_word_order,word_order,2026051801,hi,Hindi,0.5,0.022570904714643143,0.9774290952853568,1.991668701171875
S02_word_order,word_order,2026051801,es,Spanish,0.46875,0.18400037717635337,0.8159996228236466,1.951873779296875
S02_word_order,word_order,2026051801,fr,French,0.40625,0.19809656472306783,0.8019034352769322,1.965576171875
S02_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
S02_word_order,word_order,2026051802,zh,Chinese,0.28125,0.6859158514948616,0.31408414850513844,1.888427734375
S02_word_order,word_order,2026051802,hi,Hindi,0.3125,0.5569782506623103,0.4430217493376897,1.9327392578125
S02_word_order,word_order,2026051802,es,Spanish,0.34375,0.8624927688247988,0.13750723117520125,1.738128662109375
S02_word_order,word_order,2026051802,fr,French,0.375,0.7496582640859152,0.2503417359140848,1.798553466796875
S03_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
S03_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.34375,0.08459039404258295,0.915409605957417,1.743072509765625
S03_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.5,0.08148660367551169,0.9185133963244883,1.5035400390625
S03_attribute_swap,attribute_swap,2026051801,es,Spanish,0.21875,0.5612855190755416,0.4387144809244584,1.566314697265625
S03_attribute_swap,attribute_swap,2026051801,fr,French,0.25,0.4572131182692873,0.5427868817307127,1.43011474609375
S03_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
S03_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.3125,0.5244653812938661,0.4755346187061339,1.741058349609375
S03_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.3125,0.28921267036566806,0.7107873296343319,1.59521484375
S03_attribute_swap,attribute_swap,2026051802,es,Spanish,0.3125,0.4562127382188404,0.5437872617811597,1.741790771484375
