model_key,ckpt_name,language,language_name,prompt_id,scene_id,category,variant_type,seed,image_path,mean_luma,contrast_luma,edge_density,entropy,colorfulness,phash_bits
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,hi,Hindi,S01_base,S01,spatial_color,base,2026051802,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/hi/S01_base_seed2026051802_00001_.png,91.56582641601562,70.7020340498578,0.1093597412109375,7.206571029173682,24.285716852013007,1001111011001010110010010100100111000101100110101110000110010110
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,hi,Hindi,S01_attribute_swap,S01,spatial_color,attribute_swap,2026051801,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/hi/S01_attribute_swap_seed2026051801_00001_.png,188.476806640625,32.685657630735044,0.052093505859375,6.477527782307105,17.746245740769098,1100111111001011100101100000100110010011011101101010010001011000
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,hi,Hindi,S01_attribute_swap,S01,spatial_color,attribute_swap,2026051802,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/hi/S01_attribute_swap_seed2026051802_00001_.png,155.92904663085938,62.703772315094696,0.105926513671875,7.428382780302773,25.762968124074803,1000111110100111110110000100101110011001010110101110000100110000
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,hi,Hindi,S02_word_order,S02,spatial_color,word_order,2026051801,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/hi/S02_word_order_seed2026051801_00001_.png,201.1561279296875,28.83193797272273,0.016998291015625,5.918371619853478,11.970324756712836,1100101011001111111111110110101110010000000000001010000001010111
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,hi,Hindi,S02_word_order,S02,spatial_color,word_order,2026051802,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/hi/S02_word_order_seed2026051802_00001_.png,146.31556701660156,64.25141053292704,0.0992431640625,7.358005210925336,40.04265311491554,1010111110100111100110000100111010011001000110101100100000110011
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,es,Spanish,S01_base,S01,spatial_color,base,2026051801,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/es/S01_base_seed2026051801_00001_.png,169.5001678466797,72.594867383856,0.067596435546875,6.940050381009513,93.30381814518907,1011111110001010110000000011010101101010101101100010110101001001
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,es,Spanish,S01_base,S01,spatial_color,base,2026051802,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/es/S01_base_seed2026051802_00001_.png,135.2216796875,86.53160756410266,0.0558319091796875,6.908272088272714,71.37695413851269,1010111111100011110100001000010111000010000111101100110100111000
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,es,Spanish,S01_attribute_swap,S01,spatial_color,attribute_swap,2026051801,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/es/S01_attribute_swap_seed2026051801_00001_.png,157.06065368652344,75.47657724816412,0.045379638671875,5.10651164877506,72.4697677221978,1111110110001011110000000111110100001111101100001000110011000001
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,es,Spanish,S01_attribute_swap,S01,spatial_color,attribute_swap,2026051802,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/es/S01_attribute_swap_seed2026051802_00001_.png,137.2198486328125,63.98295490507836,0.0332794189453125,6.566128166636929,81.9683136406381,1011111111000001111100010000111011000100001111101100000010110001
dreamshaper8,DreamShaper8_modelscope_Yntec_dreamshaper_8.safetensors,en,English,S03_base,S03,spatial_color,base,2026051801,PROJECT_ROOT/experiments_supplementary_models_20260520_1717/generated/dreamshaper8/dreamshaper8/en/S03_base_seed2026051801_00001_.png,137.37094116210938,72.16041649213449,0.0728759765625,7.439271725494396,31.945626404292966,1111111110000011100110000111110010001011101100000110010001000110
