model_key,prompt_id,variant_type,seed,language,language_name,phash_distance_to_en,ssim_to_en,structural_drift_to_en,hist_l1_to_en
absolutereality_v16,S04_word_order,word_order,2026051802,zh,Chinese,0.40625,0.3374047315327564,0.6625952684672436,1.856842041015625
absolutereality_v16,S04_word_order,word_order,2026051802,hi,Hindi,0.53125,0.06421579021240481,0.9357842097875952,1.67193603515625
absolutereality_v16,S04_word_order,word_order,2026051802,es,Spanish,0.4375,0.3860291519667357,0.6139708480332643,1.14593505859375
absolutereality_v16,S04_word_order,word_order,2026051802,fr,French,0.28125,0.7332439155750154,0.26675608442498455,0.58172607421875
absolutereality_v16,S05_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S05_base,base,2026051801,zh,Chinese,0.5,0.0605839646626594,0.9394160353373406,2.0
absolutereality_v16,S05_base,base,2026051801,hi,Hindi,0.5,0.026097896201412306,0.9739021037985877,1.963470458984375
absolutereality_v16,S05_base,base,2026051801,es,Spanish,0.5,0.4036620580443404,0.5963379419556596,1.663970947265625
absolutereality_v16,S05_base,base,2026051801,fr,French,0.28125,0.730820139465042,0.269179860534958,1.66363525390625
absolutereality_v16,S05_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S05_base,base,2026051802,zh,Chinese,0.4375,0.1808943418046164,0.8191056581953836,1.74176025390625
absolutereality_v16,S05_base,base,2026051802,hi,Hindi,0.28125,0.24982319501491784,0.7501768049850821,1.705657958984375
absolutereality_v16,S05_base,base,2026051802,es,Spanish,0.5,0.3659394970812888,0.6340605029187112,1.559967041015625
absolutereality_v16,S05_base,base,2026051802,fr,French,0.15625,0.6655501677390626,0.3344498322609374,1.602752685546875
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051801,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051801,zh,Chinese,0.4375,0.09835361543731348,0.9016463845626865,1.99896240234375
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051801,hi,Hindi,0.40625,0.45176110978493933,0.5482388902150607,1.8819580078125
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051801,es,Spanish,0.5625,0.11684307463917891,0.8831569253608211,1.803253173828125
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051801,fr,French,0.34375,0.7213519772946504,0.2786480227053496,1.76629638671875
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051802,zh,Chinese,0.4375,0.16075664360458852,0.8392433563954115,1.758087158203125
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051802,hi,Hindi,0.34375,0.3333993511087693,0.6666006488912307,1.613800048828125
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051802,es,Spanish,0.34375,0.3279101396292608,0.6720898603707393,1.640045166015625
absolutereality_v16,S05_quantity_shift,quantity_shift,2026051802,fr,French,0.3125,0.5814487599997826,0.4185512400002174,1.726287841796875
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051801,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051801,zh,Chinese,0.40625,0.1322976355755677,0.8677023644244323,1.307342529296875
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051801,hi,Hindi,0.4375,0.07968097015415393,0.9203190298458461,1.4486083984375
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051801,es,Spanish,0.1875,0.7773091660538477,0.2226908339461523,1.31439208984375
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051801,fr,French,0.53125,0.060692356803474054,0.9393076431965259,1.535247802734375
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051802,zh,Chinese,0.3125,0.4432968805091083,0.5567031194908917,1.964447021484375
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051802,hi,Hindi,0.375,0.22052618801031101,0.779473811989689,1.65557861328125
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051802,es,Spanish,0.46875,0.27380505428924207,0.7261949457107579,1.177154541015625
absolutereality_v16,S06_quantity_shift,quantity_shift,2026051802,fr,French,0.28125,0.40575578693911385,0.5942442130608862,1.450775146484375
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.4375,0.06968889751088479,0.9303111024891152,1.966278076171875
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.5625,-0.0035818557365684604,1.0035818557365686,1.22210693359375
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051801,es,Spanish,0.46875,0.21697715934418196,0.7830228406558181,1.28326416015625
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051801,fr,French,0.5625,0.0897212759095351,0.9102787240904648,1.1746826171875
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.4375,0.3209968373502083,0.6790031626497917,1.982391357421875
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.5625,0.06042327532625105,0.939576724673749,1.6187744140625
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051802,es,Spanish,0.28125,0.34851025473605307,0.651489745263947,1.026824951171875
absolutereality_v16,S07_attribute_swap,attribute_swap,2026051802,fr,French,0.4375,0.5493517173517739,0.4506482826482261,0.95751953125
absolutereality_v16,S08_word_order,word_order,2026051801,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S08_word_order,word_order,2026051801,zh,Chinese,0.40625,0.20127023765233149,0.7987297623476686,1.994659423828125
absolutereality_v16,S08_word_order,word_order,2026051801,hi,Hindi,0.4375,0.2008581554602993,0.7991418445397007,1.256988525390625
absolutereality_v16,S08_word_order,word_order,2026051801,es,Spanish,0.46875,0.21082596765945527,0.7891740323405447,1.639739990234375
absolutereality_v16,S08_word_order,word_order,2026051801,fr,French,0.5,0.2704762977347418,0.7295237022652582,1.694183349609375
absolutereality_v16,S08_word_order,word_order,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S08_word_order,word_order,2026051802,zh,Chinese,0.46875,0.4430561124052774,0.5569438875947226,1.942657470703125
absolutereality_v16,S08_word_order,word_order,2026051802,hi,Hindi,0.4375,0.2694227669647684,0.7305772330352316,1.56610107421875
absolutereality_v16,S08_word_order,word_order,2026051802,es,Spanish,0.4375,0.59287181006043,0.40712818993957,0.835601806640625
absolutereality_v16,S08_word_order,word_order,2026051802,fr,French,0.4375,0.5959348250144549,0.40406517498554506,0.733154296875
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051801,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051801,zh,Chinese,0.28125,0.16149286264844695,0.838507137351553,1.8438720703125
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051801,hi,Hindi,0.46875,-0.032440475878896834,1.0324404758788968,1.92694091796875
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051801,es,Spanish,0.53125,0.25835477933299966,0.7416452206670003,1.77410888671875
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051801,fr,French,0.3125,0.29289549479726734,0.7071045052027327,1.742279052734375
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051802,zh,Chinese,0.3125,0.5852822074170068,0.41471779258299324,1.730804443359375
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051802,hi,Hindi,0.5625,0.4133265657853954,0.5866734342146046,1.3702392578125
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051802,es,Spanish,0.375,0.6443863069316881,0.3556136930683119,1.19500732421875
absolutereality_v16,S09_negation_rephrase,negation_rephrase,2026051802,fr,French,0.4375,0.29899478355296283,0.7010052164470372,1.900177001953125
absolutereality_v16,S10_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S10_base,base,2026051801,zh,Chinese,0.5,-0.0021077495865377167,1.0021077495865378,1.999298095703125
absolutereality_v16,S10_base,base,2026051801,hi,Hindi,0.53125,0.10026491900677101,0.899735080993229,1.350616455078125
absolutereality_v16,S10_base,base,2026051801,es,Spanish,0.5,0.3748344949723601,0.6251655050276399,1.568267822265625
absolutereality_v16,S10_base,base,2026051801,fr,French,0.375,0.6756926237506035,0.32430737624939654,0.85247802734375
absolutereality_v16,S10_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
absolutereality_v16,S10_base,base,2026051802,zh,Chinese,0.40625,0.03775374028632986,0.9622462597136702,1.81256103515625
absolutereality_v16,S10_base,base,2026051802,hi,Hindi,0.40625,0.33507942085615494,0.6649205791438451,1.392059326171875
absolutereality_v16,S10_base,base,2026051802,es,Spanish,0.28125,0.4007595441487522,0.5992404558512479,1.03033447265625
absolutereality_v16,S10_base,base,2026051802,fr,French,0.4375,0.5436299723982284,0.4563700276017716,0.895172119140625
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,zh,Chinese,0.3125,0.21297111607480004,0.7870288839252,1.19134521484375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,hi,Hindi,0.34375,0.13386744661492567,0.8661325533850743,1.647125244140625
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,es,Spanish,0.34375,0.4775305522991315,0.5224694477008685,1.611419677734375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051801,fr,French,0.40625,0.3832581593351692,0.6167418406648308,1.5648193359375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,zh,Chinese,0.40625,0.4169969260263452,0.5830030739736548,1.849700927734375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,hi,Hindi,0.375,0.30987976550709534,0.6901202344929047,1.337738037109375
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,es,Spanish,0.3125,0.47328211602177156,0.5267178839782285,1.5054931640625
dreamshaper8,S01_attribute_swap,attribute_swap,2026051802,fr,French,0.34375,0.4525025167303047,0.5474974832696953,1.54852294921875
dreamshaper8,S01_base,base,2026051801,en,English,0.0,1.0,0.0,0.0
dreamshaper8,S01_base,base,2026051801,zh,Chinese,0.375,0.28809512021074685,0.7119048797892531,1.90032958984375
dreamshaper8,S01_base,base,2026051801,hi,Hindi,0.375,0.28465002954133617,0.7153499704586639,1.410919189453125
dreamshaper8,S01_base,base,2026051801,es,Spanish,0.21875,0.6865679088118987,0.31343209118810134,1.58978271484375
dreamshaper8,S01_base,base,2026051801,fr,French,0.4375,-0.3234573151372983,1.3234573151372984,1.54644775390625
dreamshaper8,S01_base,base,2026051802,en,English,0.0,1.0,0.0,0.0
